Var1,Absent sleep features,BiPD,Burst suppression,Diffuse delta,Diffuse theta,Extreme delta brush,Extreme low voltage,GPD,GRDA,Intermittent brief attenuation,LPD,LRDA,Moderately low voltage,NCSE,Unreactive
eFig04.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eFig05.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eFig06.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eFig07.png,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
eFig08.png,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
eFig09.png,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
eFig10.png,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
eFig11.png,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
eFig12.png,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
eFig13.png,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
eFig14.png,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
eFig15.png,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
eFig16.png,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
eFig17.png,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
eFig18.png,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
eFig19.png,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
eFig20.png,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
eFig21.png,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
eFig22.png,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
eFig23.png,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
eFig24.png,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
eFig25.png,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
eFig26.png,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
eFig27.png,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
eFig28.png,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
eFig29.png,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
eFig30.png,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
eFig31.png,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
eFig32.png,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
eFig33.png,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
eFig34.png,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
eFig35.png,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
eFig36.png,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
eFig37.png,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
eFig38.png,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
eFig39.png,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
eFig40.png,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
eFig41.png,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
eFig42.png,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
eFig43.png,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
eFig44.png,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
eFig45.png,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0
eFig46.png,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
eFig47.png,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
eFig48.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
eFig49.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
eFig50.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eFig51.png,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
eFig52.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
eFig53.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
eFig54.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
eFig55.png,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
eFig56.png,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
eFig57.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
eFig58.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
